id,tender_number,tender_number_en,tender_name_ar,tender_name_en,entity_ar,entity_en,category_ar,category_en,grade_ar,grade_en,tender_type_ar,tender_type_en,sales_end_date,bid_closing_date,actual_opening_date,fee,bank_guarantee,view,is_retender,is_scc_relevant,is_subcontract,parent_tender_number,parent_tender_name,raw_data,first_seen,last_seen,scraped_at
1,"2026/7/ملاءة/ت م-6",7/2026/MALAA/IT-6,"تمديد الضمان للحاسوب اللوحي .....","Dell Laptop Warranty Extensi.....","مركز عمان للمعلومات الائتمانية والمالية","Oman Credit and Financial Information Centre","خدمات تقنية المعلومات","Information Technology Services","الممتازة,الأولى","Excellent,First","عامة",Open,2026-05-10,2026-05-12,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/7/\u0645\u0644\u0627\u0621\u0629/\u062a \u0645-6"", ""dates"": ""Sales EndDate:10-05-2026-Bid Closing Date:12-05-2026"", ""tender_number_en"": ""7/2026/MALAA/IT-6"", ""entity_ar"": ""\u0645\u0631\u0643\u0632 \u0639\u0645\u0627\u0646 \u0644\u0644\u0645\u0639\u0644\u0648\u0645\u0627\u062a \u0627\u0644\u0627\u0626\u062a\u0645\u0627\u0646\u064a\u0629 \u0648\u0627\u0644\u0645\u0627\u0644\u064a\u0629"", ""entity_en"": ""Oman Credit and Financial Information Centre"", ""tender_name_ar"": ""\u062a\u0645\u062f\u064a\u062f \u0627\u0644\u0636\u0645\u0627\u0646 \u0644\u0644\u062d\u0627\u0633\u0648\u0628 \u0627\u0644\u0644\u0648\u062d\u064a ....."", ""tender_name_en"": ""Dell Laptop Warranty Extensi....."", ""category_grade_ar"": ""\u062e\u062f\u0645\u0627\u062a \u062a\u0642\u0646\u064a\u0629 \u0627\u0644\u0645\u0639\u0644\u0648\u0645\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649]"", ""category_grade_en"": ""Information Technology Services [Excellent,First]"", ""tender_type_ar"": ""\u0639\u0627\u0645\u0629 [ Local]"", ""tender_type_en"": ""Open [ Local]"", ""sales_end_date"": ""10-05-2026"", ""bid_closing_date"": ""12-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.095816","2026-05-02 01:37:25"
2,"2026/9/عُمران/ م ر -9",9/2026/OMRAN/HQ-9,"تقديم خدمات التأمين الطبي ال.....","Provision of Corporate Medic.....","الشركة العمانية لإدارة التنمية السياحية","Oman Tourism Development Company","الخدمات",Services,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","عالمية",International,2026-05-14,2026-05-18,,150.0,1,NewTenders,0,0,0,,,"{""fee"": ""150"", ""tender_number"": ""2026/9/\u0639\u064f\u0645\u0631\u0627\u0646/ \u0645 \u0631 -9"", ""dates"": ""Sales EndDate:14-05-2026-Bid Closing Date:18-05-2026"", ""bank_guarantee"": ""1"", ""tender_number_en"": ""9/2026/OMRAN/HQ-9"", ""entity_ar"": ""\u0627\u0644\u0634\u0631\u0643\u0629 \u0627\u0644\u0639\u0645\u0627\u0646\u064a\u0629 \u0644\u0625\u062f\u0627\u0631\u0629 \u0627\u0644\u062a\u0646\u0645\u064a\u0629 \u0627\u0644\u0633\u064a\u0627\u062d\u064a\u0629"", ""entity_en"": ""Oman Tourism Development Company"", ""tender_name_ar"": ""\u062a\u0642\u062f\u064a\u0645 \u062e\u062f\u0645\u0627\u062a \u0627\u0644\u062a\u0623\u0645\u064a\u0646 \u0627\u0644\u0637\u0628\u064a \u0627\u0644....."", ""tender_name_en"": ""Provision of Corporate Medic....."", ""category_grade_ar"": ""\u0627\u0644\u062e\u062f\u0645\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Services [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0639\u0627\u0644\u0645\u064a\u0629 [ International]"", ""tender_type_en"": ""International [ International]"", ""sales_end_date"": ""14-05-2026"", ""bid_closing_date"": ""18-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.096273","2026-05-02 01:37:25"
3,"2026/1618/و ص/م ص م-133",1618/2026/MOH/SOHP-133,"علب",Boxes,"وزارة الصحة","Ministry of Health","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","عامة",Open,2026-04-29,2026-05-03,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/1618/\u0648 \u0635/\u0645 \u0635 \u0645-133"", ""dates"": ""Sales EndDate:29-04-2026-Bid Closing Date:03-05-2026"", ""tender_number_en"": ""1618/2026/MOH/SOHP-133"", ""tender_type_ar"": ""\u0639\u0627\u0645\u0629 [ Local]"", ""tender_type_en"": ""Open [ Local]"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u0635\u062d\u0629"", ""entity_en"": ""Ministry of Health"", ""tender_name_ar"": ""\u0639\u0644\u0628"", ""tender_name_en"": ""Boxes"", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""sales_end_date"": ""29-04-2026"", ""bid_closing_date"": ""03-05-2026"", ""_view"": ""New/Floated Tenders""}","2026-05-02 01:37:25","2026-05-02 01:37:25","2026-05-02 01:37:25"
4,"2025/3870/و ص/م ع ب ر م -101- اعادة طرح - 1","3870/2025/MOH/IBRIP-101- Recall - 1","عربة نقل المرضى الى منطقة ال.....","TROLLEY , PATIENT TRANSFER ,.....","وزارة الصحة","Ministry of Health","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","مؤسسات صغيرة و المتوسطة",SME,2026-05-12,2026-05-17,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2025/3870/\u0648 \u0635/\u0645 \u0639 \u0628 \u0631 \u0645 -101- \u0627\u0639\u0627\u062f\u0629 \u0637\u0631\u062d - 1"", ""dates"": ""Sales EndDate:12-05-2026-Bid Closing Date:17-05-2026"", ""tender_number_en"": ""3870/2025/MOH/IBRIP-101- Recall - 1"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u0635\u062d\u0629"", ""entity_en"": ""Ministry of Health"", ""tender_name_ar"": ""\u0639\u0631\u0628\u0629 \u0646\u0642\u0644 \u0627\u0644\u0645\u0631\u0636\u0649 \u0627\u0644\u0649 \u0645\u0646\u0637\u0642\u0629 \u0627\u0644....."", ""tender_name_en"": ""TROLLEY , PATIENT TRANSFER ,....."", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""sales_end_date"": ""12-05-2026"", ""bid_closing_date"": ""17-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.096650","2026-05-02 01:37:25"
5,"2026/37/و ت ص/ م ر -11",37/2026/MOCI/HQ-11,"صيانة وتهيئة المكاتب الخارجي.....","Maintenance and preparation .....","وزارة التجارة والصناعة","Ministry of Commerce and Industry","المقاولات العمرانيه والصيانة","Construction and Maintenance","الرابعة",Fourth,"مؤسسات صغيرة و المتوسطة",SME,2026-05-07,2026-05-21,,25.0,,NewTenders,0,0,0,,,"{""fee"": ""25"", ""tender_number"": ""2026/37/\u0648 \u062a \u0635/ \u0645 \u0631 -11"", ""dates"": ""Sales EndDate:07-05-2026-Bid Closing Date:21-05-2026"", ""tender_number_en"": ""37/2026/MOCI/HQ-11"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u062a\u062c\u0627\u0631\u0629 \u0648\u0627\u0644\u0635\u0646\u0627\u0639\u0629"", ""entity_en"": ""Ministry of Commerce and Industry"", ""tender_name_ar"": ""\u0635\u064a\u0627\u0646\u0629 \u0648\u062a\u0647\u064a\u0626\u0629 \u0627\u0644\u0645\u0643\u0627\u062a\u0628 \u0627\u0644\u062e\u0627\u0631\u062c\u064a....."", ""tender_name_en"": ""Maintenance and preparation ....."", ""category_grade_ar"": ""\u0627\u0644\u0645\u0642\u0627\u0648\u0644\u0627\u062a \u0627\u0644\u0639\u0645\u0631\u0627\u0646\u064a\u0647 \u0648\u0627\u0644\u0635\u064a\u0627\u0646\u0629 [\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Construction and Maintenance [Fourth]"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""sales_end_date"": ""07-05-2026"", ""bid_closing_date"": ""21-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.097112","2026-05-02 01:37:25"
6,"2026/252/و ز ث س م/م ع ب س-14",252/2026/MAFWR/DGFR-14,"توريد أجهزة ومواد ومستلزمات .....","Supply of equipment materia.....","وزارة الثروة الزراعية والسمكية وموارد المياه","Ministry of Agricultural, Fisheries Wealth and Water Resources","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","مؤسسات صغيرة و المتوسطة",SME,2026-05-17,2026-06-07,,25.0,,NewTenders,0,0,0,,,"{""fee"": ""25"", ""tender_number"": ""2026/252/\u0648 \u0632 \u062b \u0633 \u0645/\u0645 \u0639 \u0628 \u0633-14"", ""dates"": ""Sales EndDate:17-05-2026-Bid Closing Date:07-06-2026"", ""tender_number_en"": ""252/2026/MAFWR/DGFR-14"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u062b\u0631\u0648\u0629 \u0627\u0644\u0632\u0631\u0627\u0639\u064a\u0629 \u0648\u0627\u0644\u0633\u0645\u0643\u064a\u0629 \u0648\u0645\u0648\u0627\u0631\u062f \u0627\u0644\u0645\u064a\u0627\u0647"", ""entity_en"": ""Ministry of Agricultural, Fisheries Wealth and Water Resources"", ""tender_name_ar"": ""\u062a\u0648\u0631\u064a\u062f \u0623\u062c\u0647\u0632\u0629 \u0648\u0645\u0648\u0627\u062f \u0648\u0645\u0633\u062a\u0644\u0632\u0645\u0627\u062a ....."", ""tender_name_en"": ""Supply of equipment materia....."", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""sales_end_date"": ""17-05-2026"", ""bid_closing_date"": ""07-06-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.097496","2026-05-02 01:37:25"
7,"2026/98/ه ت م ص م/م ع ش ا م-39",98/2026/SMES/GDAFA-39,"إعادة هيكلة الشبكة الداخلية .....","Request for proposal supply .....","هيئة تنمية المؤسسات الصغيرة والمتوسطة","Small and Medium Enterprises Development Authority","خدمات تقنية المعلومات","Information Technology Services","الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","مؤسسات صغيرة و المتوسطة",SME,2026-05-04,2026-05-11,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/98/\u0647 \u062a \u0645 \u0635 \u0645/\u0645 \u0639 \u0634 \u0627 \u0645-39"", ""dates"": ""Sales EndDate:04-05-2026-Bid Closing Date:11-05-2026"", ""tender_number_en"": ""98/2026/SMES/GDAFA-39"", ""entity_ar"": ""\u0647\u064a\u0626\u0629 \u062a\u0646\u0645\u064a\u0629 \u0627\u0644\u0645\u0624\u0633\u0633\u0627\u062a \u0627\u0644\u0635\u063a\u064a\u0631\u0629 \u0648\u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629"", ""entity_en"": ""Small and Medium Enterprises Development Authority"", ""tender_name_ar"": ""\u0625\u0639\u0627\u062f\u0629 \u0647\u064a\u0643\u0644\u0629 \u0627\u0644\u0634\u0628\u0643\u0629 \u0627\u0644\u062f\u0627\u062e\u0644\u064a\u0629 ....."", ""tender_name_en"": ""Request for proposal supply ....."", ""category_grade_ar"": ""\u062e\u062f\u0645\u0627\u062a \u062a\u0642\u0646\u064a\u0629 \u0627\u0644\u0645\u0639\u0644\u0648\u0645\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Information Technology Services [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""sales_end_date"": ""04-05-2026"", ""bid_closing_date"": ""11-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.097942","2026-05-02 01:37:25"
8,"2025/35/أ س إ/ م ر -27 - اعادة طرح - 2","35/2025/RAM/HQ-27 - Recall - 2","تقديم خدمات التغذية لبرامج ا.....","Provide Catering Services f.....","الأكاديمية السلطانية للإدارة","Royal Academy of Management","الخدمات",Services,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","ممارسة /الإسناد المباشر","Negotiation/Direct Award",2026-05-07,2026-05-19,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2025/35/\u0623 \u0633 \u0625/ \u0645 \u0631 -27 - \u0627\u0639\u0627\u062f\u0629 \u0637\u0631\u062d - 2"", ""dates"": ""Sales EndDate:07-05-2026-Bid Closing Date:19-05-2026"", ""tender_number_en"": ""35/2025/RAM/HQ-27 - Recall - 2"", ""entity_ar"": ""\u0627\u0644\u0623\u0643\u0627\u062f\u064a\u0645\u064a\u0629 \u0627\u0644\u0633\u0644\u0637\u0627\u0646\u064a\u0629 \u0644\u0644\u0625\u062f\u0627\u0631\u0629"", ""entity_en"": ""Royal Academy of Management"", ""tender_name_ar"": ""\u062a\u0642\u062f\u064a\u0645 \u062e\u062f\u0645\u0627\u062a \u0627\u0644\u062a\u063a\u0630\u064a\u0629 \u0644\u0628\u0631\u0627\u0645\u062c \u0627....."", ""tender_name_en"": ""Provide Catering Services f....."", ""category_grade_ar"": ""\u0627\u0644\u062e\u062f\u0645\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Services [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0645\u0645\u0627\u0631\u0633\u0629 /\u0627\u0644\u0625\u0633\u0646\u0627\u062f \u0627\u0644\u0645\u0628\u0627\u0634\u0631 [ Local]"", ""tender_type_en"": ""Negotiation/Direct Award [ Local]"", ""sales_end_date"": ""07-05-2026"", ""bid_closing_date"": ""19-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.098530","2026-05-02 01:37:25"
9,"2026/1615/و ص/م ع خ ص د م-95",1615/2026/MOH/DGHSDKP-95,"توريد وإستبدال بطاريات لنظام.....","SUPPLY AND INSTALLATION OF U.....","وزارة الصحة","Ministry of Health","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","مؤسسات صغيرة و المتوسطة",SME,2026-05-10,2026-05-12,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/1615/\u0648 \u0635/\u0645 \u0639 \u062e \u0635 \u062f \u0645-95"", ""dates"": ""Sales EndDate:10-05-2026-Bid Closing Date:12-05-2026"", ""tender_number_en"": ""1615/2026/MOH/DGHSDKP-95"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u0635\u062d\u0629"", ""entity_en"": ""Ministry of Health"", ""tender_name_ar"": ""\u062a\u0648\u0631\u064a\u062f \u0648\u0625\u0633\u062a\u0628\u062f\u0627\u0644 \u0628\u0637\u0627\u0631\u064a\u0627\u062a \u0644\u0646\u0638\u0627\u0645....."", ""tender_name_en"": ""SUPPLY AND INSTALLATION OF U....."", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""sales_end_date"": ""10-05-2026"", ""bid_closing_date"": ""12-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.099896","2026-05-02 01:37:25"
10,"2026/1193/و ص/م ع خ ص ش ب م -52- اعادة طرح - 1","1193/2026/MOH/DGHSNBP-52- Recall - 1","توريد جهاز تعقيم وتبخير الغر.....","Supply of HYDROGEN PEROXIDE .....","وزارة الصحة","Ministry of Health","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","عامة",Open,2026-05-10,2026-05-14,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/1193/\u0648 \u0635/\u0645 \u0639 \u062e \u0635 \u0634 \u0628 \u0645 -52- \u0627\u0639\u0627\u062f\u0629 \u0637\u0631\u062d - 1"", ""dates"": ""Sales EndDate:10-05-2026-Bid Closing Date:14-05-2026"", ""tender_number_en"": ""1193/2026/MOH/DGHSNBP-52- Recall - 1"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u0635\u062d\u0629"", ""entity_en"": ""Ministry of Health"", ""tender_name_ar"": ""\u062a\u0648\u0631\u064a\u062f \u062c\u0647\u0627\u0632 \u062a\u0639\u0642\u064a\u0645 \u0648\u062a\u0628\u062e\u064a\u0631 \u0627\u0644\u063a\u0631....."", ""tender_name_en"": ""Supply of HYDROGEN PEROXIDE ....."", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0639\u0627\u0645\u0629 [ Local]"", ""tender_type_en"": ""Open [ Local]"", ""sales_end_date"": ""10-05-2026"", ""bid_closing_date"": ""14-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.099480","2026-05-02 01:37:25"
11,"2026/1617/و ص/ق م-51",1617/2026/MOH/PRC-51,"توريد وطباعة ملفات واوراق لل.....","Printing and Supply Certific.....","وزارة الصحة","Ministry of Health","الخدمات",Services,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","مؤسسات صغيرة و المتوسطة",SME,2026-05-05,2026-05-11,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/1617/\u0648 \u0635/\u0642 \u0645-51"", ""dates"": ""Sales EndDate:05-05-2026-Bid Closing Date:11-05-2026"", ""tender_number_en"": ""1617/2026/MOH/PRC-51"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u0635\u062d\u0629"", ""entity_en"": ""Ministry of Health"", ""tender_name_ar"": ""\u062a\u0648\u0631\u064a\u062f \u0648\u0637\u0628\u0627\u0639\u0629 \u0645\u0644\u0641\u0627\u062a \u0648\u0627\u0648\u0631\u0627\u0642 \u0644\u0644....."", ""tender_name_en"": ""Printing and Supply Certific....."", ""category_grade_ar"": ""\u0627\u0644\u062e\u062f\u0645\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Services [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""sales_end_date"": ""05-05-2026"", ""bid_closing_date"": ""11-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.099058","2026-05-02 01:37:25"
12,"2026/59/ب ظ/خ م ص م-24",59/2026/DM/SMEF-24,"توريد أثاث لمساكن العمال","Supply of Furniture for Labo.....","بلديه ظفار","Dhofar Municipality","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","مؤسسات صغيرة و المتوسطة",SME,2026-04-29,2026-04-30,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/59/\u0628 \u0638/\u062e \u0645 \u0635 \u0645-24"", ""dates"": ""Sales EndDate:29-04-2026-Bid Closing Date:30-04-2026"", ""tender_number_en"": ""59/2026/DM/SMEF-24"", ""tender_type_ar"": ""\u0645\u0624\u0633\u0633\u0627\u062a \u0635\u063a\u064a\u0631\u0629 \u0648 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u0629 [ Local]"", ""tender_type_en"": ""SME [ Local]"", ""entity_ar"": ""\u0628\u0644\u062f\u064a\u0647 \u0638\u0641\u0627\u0631"", ""entity_en"": ""Dhofar Municipality"", ""tender_name_ar"": ""\u062a\u0648\u0631\u064a\u062f \u0623\u062b\u0627\u062b \u0644\u0645\u0633\u0627\u0643\u0646 \u0627\u0644\u0639\u0645\u0627\u0644"", ""tender_name_en"": ""Supply of Furniture for Labo....."", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""sales_end_date"": ""29-04-2026"", ""bid_closing_date"": ""30-04-2026"", ""_view"": ""New/Floated Tenders""}","2026-05-02 01:37:25","2026-05-02 01:37:25","2026-05-02 01:37:25"
13,"2026/1609/و ص/م ص م-131",1609/2026/MOH/SOHP-131,"نقل قطعه التحميل للعربه الى .....","Transfer of Stryker power pr.....","وزارة الصحة","Ministry of Health","التوريدات",Supply,"الممتازة,الأولى,الثانية,الثالثة,الرابعة","Excellent,First,Second,Third,Fourth","عامة",Open,2026-05-05,2026-05-10,,,,NewTenders,0,0,0,,,"{""tender_number"": ""2026/1609/\u0648 \u0635/\u0645 \u0635 \u0645-131"", ""dates"": ""Sales EndDate:05-05-2026-Bid Closing Date:10-05-2026"", ""tender_number_en"": ""1609/2026/MOH/SOHP-131"", ""entity_ar"": ""\u0648\u0632\u0627\u0631\u0629 \u0627\u0644\u0635\u062d\u0629"", ""entity_en"": ""Ministry of Health"", ""tender_name_ar"": ""\u0646\u0642\u0644 \u0642\u0637\u0639\u0647 \u0627\u0644\u062a\u062d\u0645\u064a\u0644 \u0644\u0644\u0639\u0631\u0628\u0647 \u0627\u0644\u0649 ....."", ""tender_name_en"": ""Transfer of Stryker power pr....."", ""category_grade_ar"": ""\u0627\u0644\u062a\u0648\u0631\u064a\u062f\u0627\u062a [\u0627\u0644\u0645\u0645\u062a\u0627\u0632\u0629,\u0627\u0644\u0623\u0648\u0644\u0649,\u0627\u0644\u062b\u0627\u0646\u064a\u0629,\u0627\u0644\u062b\u0627\u0644\u062b\u0629,\u0627\u0644\u0631\u0627\u0628\u0639\u0629]"", ""category_grade_en"": ""Supply [Excellent,First,Second,Third,Fourth]"", ""tender_type_ar"": ""\u0639\u0627\u0645\u0629 [ Local]"", ""tender_type_en"": ""Open [ Local]"", ""sales_end_date"": ""05-05-2026"", ""bid_closing_date"": ""10-05-2026"", ""_view"": ""NewTenders""}","2026-05-02 01:37:25","2026-05-10 02:04:44.100276","2026-05-02 01:37:25"
